ID	所属	コミュニティ
1117	第2開発部	2
2002	第4開発部	0
1910	第3開発部	4
2008	第3開発部	4
176	第4開発部	0
2012	第1開発部	0
2013	第1開発部	3
23	第1開発部	3
1906	第1開発部	3
1923	第1開発部	0
2001	第1開発部	3
2004	第1開発部	3
201	第2開発部	1
52	第1開発部	0
18	コーポレート	2
226	第2開発部	1
229	第2開発部	1
231	第2開発部	1
227	第2開発部	1
123	第1開発部	3
228	コーポレート	1
41	第3開発部	4
113	第4開発部	0
46	第2開発部	2
803	第4開発部	0
131	第4開発部	0
105	第4開発部	0
910	第1開発部	3
225	第3開発部	1
211	第2開発部	1
230	コーポレート	1
802	第1開発部	3
47	第2開発部	2
1080	第1開発部	3
1607	第1開発部	3
137	第3開発部	0
194	第1開発部	3
99	第1開発部	3
199	第1開発部	3
148	コーポレート	0
114	第3開発部	4
167	第1開発部	3
208	第1開発部	1
187	第2開発部	2
72	第1開発部	3
197	第4開発部	0
95	第1開発部	3
193	第2開発部	2
970	第4開発部	0
20	第1開発部	3
88	第1開発部	3
121	第1開発部	3
817	コーポレート	3
191	第3開発部	4
210	第3開発部	4
213	第4開発部	1
108	第2開発部	2
192	コーポレート	4
178	第1開発部	3
81	第1開発部	3
1002	第1開発部	3
216	コーポレート	1
86	第1開発部	3
1084	第1開発部	3
125	第1開発部	3
19	コーポレート	1
1807	第1開発部	0
155	第2開発部	2
140	第4開発部	0
124	第1開発部	3
139	第3開発部	4
931	コーポレート	4
160	第1開発部	0
809	コーポレート	1
215	第1開発部	1
224	コーポレート	1
1501	第4開発部	0
145	第2開発部	2
128	第3開発部	4
186	第3開発部	4
110	第3開発部	4
174	第1開発部	1
98	コーポレート	3
143	第2開発部	2
132	第2開発部	2
172	第2開発部	2
170	第2開発部	2
169	コーポレート	3
106	コーポレート	1
57	第3開発部	4
21	コーポレート	0
209	第2開発部	1
212	第2開発部	1
217	コーポレート	1
133	第1開発部	3
206	コーポレート	1
223	第2開発部	1
220	第4開発部	1
222	第2開発部	1
219	第1開発部	1
218	第4開発部	1
127	第2開発部	2
115	コーポレート	2
221	第3開発部	1
147	第4開発部	0
35	第4開発部	0
