ID	所属	コミュニティ
2104	第5開発部	3
2304	第2開発部	2
2301	第1開発部	3
819	コーポレート	4
822	コーポレート	4
245	コーポレート	4
246	コーポレート	4
247	コーポレート	4
248	コーポレート	4
249	コーポレート	4
823	コーポレート	4
250	コーポレート	4
2206	第1開発部	3
2207	第3開発部	1
2116	第1開発部	3
820	コーポレート	4
2122	第1開発部	3
1909	第1開発部	3
2114	第5開発部	3
2120	第1開発部	3
2113	第5開発部	3
2115	第1開発部	3
22116	第1開発部	3
2117	第3開発部	1
2118	第3開発部	1
237	第4開発部	2
238	システム開発部	2
239	第4開発部	0
240	システム開発部	2
241	第3開発部	4
2110	コーポレート	0
2014	第1開発部	3
235	第2開発部	2
232	第3開発部	0
233	第2開発部	2
236	コーポレート	4
234	システム開発部	2
2103	第1開発部	3
2102	第4開発部	0
2003	第1開発部	0
2017	第3開発部	1
1117	第2開発部	2
2002	第4開発部	0
1910	第3開発部	1
2008	第3開発部	1
176	第4開発部	0
2012	第1開発部	3
2013	第1開発部	3
23	第1開発部	3
1906	第1開発部	3
1923	第1開発部	3
2001	第1開発部	3
2004	第1開発部	3
201	第2開発部	2
52	第4開発部	0
18	コーポレート	0
226	第4開発部	2
229	第2開発部	2
231	第2開発部	2
227	第2開発部	2
123	第1開発部	3
228	第2開発部	2
41	第3開発部	1
113	第4開発部	0
46	第2開発部	2
803	第4開発部	0
131	第4開発部	0
105	第4開発部	0
910	第1開発部	3
225	第3開発部	1
211	第2開発部	2
230	第4開発部	0
802	第1開発部	3
47	第2開発部	2
1080	第1開発部	3
1607	第1開発部	3
137	第3開発部	1
194	第1開発部	3
99	第1開発部	3
199	第5開発部	3
148	第5開発部	3
114	第3開発部	1
167	第1開発部	3
208	システム開発部	2
187	第2開発部	2
72	第1開発部	3
197	第2開発部	0
95	第1開発部	3
193	第2開発部	2
970	第4開発部	0
20	第1開発部	3
88	第5開発部	3
121	第1開発部	3
817	コーポレート	3
191	第3開発部	1
210	第3開発部	1
213	第4開発部	0
108	第2開発部	2
192	第3開発部	1
178	第1開発部	3
81	第1開発部	3
1002	第1開発部	3
216	第4開発部	0
86	第1開発部	3
1084	第1開発部	3
125	第1開発部	3
19	コーポレート	0
1807	第1開発部	0
155	第2開発部	2
140	第4開発部	0
124	第1開発部	3
139	第3開発部	1
931	コーポレート	3
160	第5開発部	3
809	コーポレート	0
215	第5開発部	3
224	コーポレート	4
1501	第4開発部	0
145	第1開発部	2
128	第3開発部	1
186	第3開発部	1
110	第3開発部	1
174	システム開発部	1
98	コーポレート	0
143	第2開発部	2
132	第2開発部	2
172	第2開発部	2
170	第2開発部	2
169	コーポレート	3
106	コーポレート	2
57	第3開発部	1
21	コーポレート	0
209	第2開発部	2
212	第2開発部	2
217	コーポレート	0
133	第1開発部	3
206	コーポレート	0
223	第2開発部	2
220	コーポレート	0
222	第2開発部	2
219	システム開発部	2
218	第4開発部	0
127	第2開発部	2
115	コーポレート	0
221	第3開発部	1
147	第4開発部	0
35	第4開発部	0
