ID	所属	コミュニティ
2110	コーポレート	1
2014	第1開発部	4
235	第2開発部	2
232	第4開発部	2
233	第2開発部	2
236	コーポレート	2
234	第2開発部	2
2103	第1開発部	4
2102	第4開発部	0
2003	第1開発部	4
2017	第3開発部	1
1117	第2開発部	2
2002	第4開発部	0
1910	第3開発部	1
2008	第3開発部	1
176	第4開発部	0
2012	第1開発部	4
2013	第1開発部	4
23	第1開発部	4
1906	第1開発部	4
1923	第1開発部	4
2001	第1開発部	4
2004	第1開発部	4
201	第2開発部	2
52	第1開発部	4
18	コーポレート	0
226	第4開発部	2
229	第2開発部	2
231	第2開発部	2
227	第2開発部	2
123	第1開発部	4
228	第2開発部	2
41	第3開発部	1
113	第4開発部	1
46	第2開発部	2
803	第4開発部	0
131	第4開発部	0
105	第4開発部	0
910	第1開発部	4
225	第3開発部	1
211	第2開発部	2
230	第4開発部	2
802	第1開発部	4
47	第2開発部	2
1080	第1開発部	4
1607	第1開発部	4
137	第3開発部	1
194	第1開発部	4
99	第1開発部	4
199	第1開発部	4
148	コーポレート	1
114	第3開発部	1
167	第1開発部	4
208	第1開発部	2
187	第2開発部	2
72	第1開発部	4
197	第4開発部	0
95	第1開発部	4
193	第2開発部	2
970	第4開発部	0
20	第1開発部	4
88	第1開発部	4
121	第1開発部	4
817	コーポレート	4
191	第3開発部	1
210	第3開発部	1
213	第4開発部	0
108	第2開発部	2
192	コーポレート	1
178	第1開発部	4
81	第1開発部	4
1002	第1開発部	4
216	第4開発部	2
86	第1開発部	4
1084	第1開発部	4
125	第1開発部	4
19	コーポレート	3
1807	第1開発部	0
155	第2開発部	2
140	第4開発部	4
124	第1開発部	4
139	第3開発部	1
931	コーポレート	3
160	第1開発部	4
809	コーポレート	3
215	第1開発部	4
224	コーポレート	4
1501	第4開発部	0
145	第1開発部	4
128	第3開発部	1
186	第3開発部	1
110	第3開発部	1
174	第1開発部	1
98	コーポレート	1
143	第2開発部	2
132	第2開発部	2
172	第2開発部	2
170	第2開発部	2
169	コーポレート	4
106	コーポレート	2
57	第3開発部	1
21	コーポレート	1
209	第2開発部	2
212	第2開発部	2
217	コーポレート	2
133	第1開発部	4
206	コーポレート	3
223	第2開発部	2
220	第4開発部	2
222	第2開発部	2
219	第1開発部	2
218	第4開発部	2
127	第2開発部	2
115	コーポレート	4
221	第3開発部	1
147	第4開発部	0
35	第4開発部	0
