ID	所属	コミュニティ
2206	第1開発部	0
2207	第3開発部	1
2116	第1開発部	0
820	コーポレート	4
2122	第1開発部	0
1909	第1開発部	0
2114	第1開発部	0
2120	第1開発部	0
2113	第5開発部	0
2115	第1開発部	0
22116	第1開発部	0
2117	第3開発部	1
2118	第3開発部	1
237	第2開発部	2
238	システム開発部	4
239	第4開発部	4
240	システム開発部	4
241	第3開発部	4
2110	コーポレート	3
2014	第1開発部	0
235	第2開発部	2
232	第4開発部	3
233	第2開発部	2
236	コーポレート	4
234	第2開発部	2
2103	第1開発部	0
2102	第4開発部	3
2003	第1開発部	3
2017	第3開発部	1
1117	第2開発部	2
2002	第4開発部	3
1910	第3開発部	1
2008	第3開発部	1
176	第4開発部	3
2012	第1開発部	0
2013	第1開発部	0
23	第1開発部	0
1906	第1開発部	0
1923	第1開発部	0
2001	第1開発部	0
2004	第1開発部	0
201	第2開発部	2
52	第4開発部	3
18	コーポレート	3
226	第4開発部	2
229	第2開発部	2
231	第2開発部	2
227	第2開発部	2
123	第1開発部	0
228	第2開発部	2
41	第3開発部	1
113	第4開発部	3
46	第2開発部	2
803	第4開発部	3
131	第4開発部	3
105	第4開発部	3
910	第1開発部	0
225	第3開発部	1
211	第2開発部	2
230	第4開発部	4
802	第1開発部	0
47	第2開発部	2
1080	第1開発部	0
1607	第1開発部	0
137	第3開発部	1
194	第1開発部	0
99	第1開発部	0
199	第5開発部	0
148	第5開発部	0
114	第3開発部	1
167	第1開発部	0
208	システム開発部	4
187	第2開発部	2
72	第1開発部	0
197	第4開発部	3
95	第1開発部	0
193	第2開発部	2
970	第4開発部	3
20	第1開発部	0
88	第5開発部	0
121	第1開発部	0
817	コーポレート	0
191	第3開発部	1
210	第3開発部	1
213	第4開発部	3
108	第2開発部	2
192	第3開発部	1
178	第1開発部	0
81	第1開発部	0
1002	第1開発部	0
216	第4開発部	2
86	第1開発部	0
1084	第1開発部	0
125	第1開発部	0
19	コーポレート	4
1807	第1開発部	3
155	第2開発部	2
140	第4開発部	3
124	第1開発部	0
139	第3開発部	1
931	コーポレート	0
160	第5開発部	0
809	コーポレート	4
215	第5開発部	0
224	コーポレート	4
1501	第4開発部	3
145	第1開発部	2
128	第3開発部	1
186	第3開発部	1
110	第3開発部	1
174	システム開発部	1
98	コーポレート	3
143	第2開発部	2
132	第2開発部	2
172	第2開発部	2
170	第2開発部	2
169	コーポレート	0
106	コーポレート	4
57	第3開発部	1
21	コーポレート	4
209	第2開発部	2
212	第2開発部	2
217	コーポレート	4
133	第1開発部	0
206	コーポレート	4
223	第2開発部	2
220	第4開発部	3
222	第2開発部	2
219	システム開発部	4
218	第4開発部	3
127	第2開発部	2
115	コーポレート	3
221	第3開発部	1
147	第4開発部	3
35	第4開発部	3
